"Date","Scheduled_Start","Batch","Scheduled_End","Actual_Start","Actual_End","Machine ID","operator_id","Product","Job_ID","Machine_ID","Operation_Type","Material_Used","Processing_Time","Energy_Consumption","Machine_Availability","Job_Status","Optimization_Category"
"","","","","","","","","","","","","","","","","",""
"18/03/2023","0.333333333333333","422111","0.386111111111111","0.336805555555556","0.389583333333333","M01","1","OR-600","J001","M01","Grinding","3.17","76","11.42","96","Completed","Moderate Efficiency"
"18/03/2023","0.340277777777778","422111","0.395138888888889","0.347222222222222","0.402083333333333","M01","1","OR-600","J002","M01","Grinding","3.35","79","6.61","84","Delayed","Low Efficiency"
"18/03/2023","0.361111111111111","422111","0.393055555555556","0.3625","0.394444444444444","M01","1","OR-600","J005","M01","Lathe","1.9","46","8.13","88","Completed","High Efficiency"
"18/03/2023","0.395833333333333","422111","0.414583333333333","0.4125","0.43125","M01","1","OR-600","J010","M01","Drilling","2.1","27","3.66","97","Delayed","Low Efficiency"
"18/03/2023","0.402777777777778","422111","0.447916666666667","0.401388888888889","0.446527777777778","M01","1","OR-600","J011","M01","Lathe","3.02","65","9.98","90","Completed","Low Efficiency"
"18/03/2023","0.4375","422111","0.482638888888889","0.436111111111111","0.48125","M01","1","OR-600","J016","M01","Additive","2.09","65","12.29","96","Completed","Low Efficiency"
"18/03/2023","0.486111111111111","422111","0.554166666666667","0.482638888888889","0.550694444444444","M01","1","OR-600","J023","M01","Drilling","4.86","98","13.49","89","Completed","Low Efficiency"
"18/03/2023","0.506944444444444","422111","0.521527777777778","0.506944444444444","0.521527777777778","M01","1","OR-600","J026","M01","Additive","1.14","21","3.89","97","Completed","High Efficiency"
"18/03/2023","0.5625","422111","0.638888888888889","0.579166666666667","0.655555555555556","M01","1","OR-600","J034","M01","Grinding","1.47","110","12.52","86","Delayed","Low Efficiency"
"18/03/2023","0.583333333333333","422111","0.638194444444444","0.584722222222222","0.639583333333333","M01","1","OR-600","J037","M01","Milling","4.6","79","13.17","88","Completed","Moderate Efficiency"
"18/03/2023","0.590277777777778","422111","0.620138888888889","0.590277777777778","0.620138888888889","M01","1","OR-600","J038","M01","Grinding","4.77","43","4.98","94","Completed","High Efficiency"
"18/03/2023","0.333333333333333","422112","0.386111111111111","0.336805555555556","0.389583333333333","M01","1","LE-600","J001","M01","Grinding","3.17","76","11.42","96","Completed","Moderate Efficiency"
"18/03/2023","0.340277777777778","422112","0.395138888888889","0.347222222222222","0.402083333333333","M01","1","LE-600","J002","M01","Grinding","3.35","79","6.61","84","Delayed","Low Efficiency"
"18/03/2023","0.361111111111111","422112","0.393055555555556","0.3625","0.394444444444444","M01","1","LE-600","J005","M01","Lathe","1.9","46","8.13","88","Completed","High Efficiency"
"18/03/2023","0.395833333333333","422112","0.414583333333333","0.4125","0.43125","M01","1","LE-600","J010","M01","Drilling","2.1","27","3.66","97","Delayed","Low Efficiency"
"18/03/2023","0.402777777777778","422112","0.447916666666667","0.401388888888889","0.446527777777778","M01","1","LE-600","J011","M01","Lathe","3.02","65","9.98","90","Completed","Low Efficiency"
"18/03/2023","0.4375","422112","0.482638888888889","0.436111111111111","0.48125","M01","1","LE-600","J016","M01","Additive","2.09","65","12.29","96","Completed","Low Efficiency"
"18/03/2023","0.486111111111111","422112","0.554166666666667","0.482638888888889","0.550694444444444","M01","1","LE-600","J023","M01","Drilling","4.86","98","13.49","89","Completed","Low Efficiency"
"18/03/2023","0.506944444444444","422112","0.521527777777778","0.506944444444444","0.521527777777778","M01","1","LE-600","J026","M01","Additive","1.14","21","3.89","97","Completed","High Efficiency"
"18/03/2023","0.5625","422112","0.638888888888889","0.579166666666667","0.655555555555556","M01","1","LE-600","J034","M01","Grinding","1.47","110","12.52","86","Delayed","Low Efficiency"
"18/03/2023","0.583333333333333","422112","0.638194444444444","0.584722222222222","0.639583333333333","M01","1","LE-600","J037","M01","Milling","4.6","79","13.17","88","Completed","Moderate Efficiency"
"18/03/2023","0.590277777777778","422112","0.620138888888889","0.590277777777778","0.620138888888889","M01","1","LE-600","J038","M01","Grinding","4.77","43","4.98","94","Completed","High Efficiency"
"18/03/2023","0.333333333333333","422113","0.386111111111111","0.336805555555556","0.389583333333333","M01","1","LE-600","J001","M01","Grinding","3.17","76","11.42","96","Completed","Moderate Efficiency"
"18/03/2023","0.340277777777778","422113","0.395138888888889","0.347222222222222","0.402083333333333","M01","1","LE-600","J002","M01","Grinding","3.35","79","6.61","84","Delayed","Low Efficiency"
"18/03/2023","0.361111111111111","422113","0.393055555555556","0.3625","0.394444444444444","M01","1","LE-600","J005","M01","Lathe","1.9","46","8.13","88","Completed","High Efficiency"
"18/03/2023","0.395833333333333","422113","0.414583333333333","0.4125","0.43125","M01","1","LE-600","J010","M01","Drilling","2.1","27","3.66","97","Delayed","Low Efficiency"
"18/03/2023","0.402777777777778","422113","0.447916666666667","0.401388888888889","0.446527777777778","M01","1","LE-600","J011","M01","Lathe","3.02","65","9.98","90","Completed","Low Efficiency"
"18/03/2023","0.4375","422113","0.482638888888889","0.436111111111111","0.48125","M01","1","LE-600","J016","M01","Additive","2.09","65","12.29","96","Completed","Low Efficiency"
"18/03/2023","0.486111111111111","422113","0.554166666666667","0.482638888888889","0.550694444444444","M01","1","LE-600","J023","M01","Drilling","4.86","98","13.49","89","Completed","Low Efficiency"
"18/03/2023","0.506944444444444","422113","0.521527777777778","0.506944444444444","0.521527777777778","M01","1","LE-600","J026","M01","Additive","1.14","21","3.89","97","Completed","High Efficiency"
"18/03/2023","0.5625","422113","0.638888888888889","0.579166666666667","0.655555555555556","M01","1","LE-600","J034","M01","Grinding","1.47","110","12.52","86","Delayed","Low Efficiency"
"18/03/2023","0.583333333333333","422113","0.638194444444444","0.584722222222222","0.639583333333333","M01","1","LE-600","J037","M01","Milling","4.6","79","13.17","88","Completed","Moderate Efficiency"
"18/03/2023","0.590277777777778","422113","0.620138888888889","0.590277777777778","0.620138888888889","M01","1","LE-600","J038","M01","Grinding","4.77","43","4.98","94","Completed","High Efficiency"
"18/03/2023","0.333333333333333","422114","0.386111111111111","0.336805555555556","0.389583333333333","M01","1","LE-600","J001","M01","Grinding","3.17","76","11.42","96","Completed","Moderate Efficiency"
"18/03/2023","0.340277777777778","422114","0.395138888888889","0.347222222222222","0.402083333333333","M01","1","LE-600","J002","M01","Grinding","3.35","79","6.61","84","Delayed","Low Efficiency"
"18/03/2023","0.361111111111111","422114","0.393055555555556","0.3625","0.394444444444444","M01","1","LE-600","J005","M01","Lathe","1.9","46","8.13","88","Completed","High Efficiency"
"18/03/2023","0.395833333333333","422114","0.414583333333333","0.4125","0.43125","M01","1","LE-600","J010","M01","Drilling","2.1","27","3.66","97","Delayed","Low Efficiency"
"18/03/2023","0.402777777777778","422114","0.447916666666667","0.401388888888889","0.446527777777778","M01","1","LE-600","J011","M01","Lathe","3.02","65","9.98","90","Completed","Low Efficiency"
"18/03/2023","0.4375","422114","0.482638888888889","0.436111111111111","0.48125","M01","1","LE-600","J016","M01","Additive","2.09","65","12.29","96","Completed","Low Efficiency"
"18/03/2023","0.486111111111111","422114","0.554166666666667","0.482638888888889","0.550694444444444","M01","1","LE-600","J023","M01","Drilling","4.86","98","13.49","89","Completed","Low Efficiency"
"18/03/2023","0.506944444444444","422114","0.521527777777778","0.506944444444444","0.521527777777778","M01","1","LE-600","J026","M01","Additive","1.14","21","3.89","97","Completed","High Efficiency"
"18/03/2023","0.5625","422114","0.638888888888889","0.579166666666667","0.655555555555556","M01","1","LE-600","J034","M01","Grinding","1.47","110","12.52","86","Delayed","Low Efficiency"
"18/03/2023","0.583333333333333","422114","0.638194444444444","0.584722222222222","0.639583333333333","M01","1","LE-600","J037","M01","Milling","4.6","79","13.17","88","Completed","Moderate Efficiency"
"18/03/2023","0.590277777777778","422114","0.620138888888889","0.590277777777778","0.620138888888889","M01","1","LE-600","J038","M01","Grinding","4.77","43","4.98","94","Completed","High Efficiency"
"18/03/2023","0.333333333333333","422134","0.386111111111111","0.336805555555556","0.389583333333333","M01","1","DC-600","J001","M01","Grinding","3.17","76","11.42","96","Completed","Moderate Efficiency"
"18/03/2023","0.340277777777778","422134","0.395138888888889","0.347222222222222","0.402083333333333","M01","1","DC-600","J002","M01","Grinding","3.35","79","6.61","84","Delayed","Low Efficiency"
"18/03/2023","0.361111111111111","422134","0.393055555555556","0.3625","0.394444444444444","M01","1","DC-600","J005","M01","Lathe","1.9","46","8.13","88","Completed","High Efficiency"
"18/03/2023","0.395833333333333","422134","0.414583333333333","0.4125","0.43125","M01","1","DC-600","J010","M01","Drilling","2.1","27","3.66","97","Delayed","Low Efficiency"
"18/03/2023","0.402777777777778","422134","0.447916666666667","0.401388888888889","0.446527777777778","M01","1","DC-600","J011","M01","Lathe","3.02","65","9.98","90","Completed","Low Efficiency"
"18/03/2023","0.4375","422134","0.482638888888889","0.436111111111111","0.48125","M01","1","DC-600","J016","M01","Additive","2.09","65","12.29","96","Completed","Low Efficiency"
