"Date","Scheduled_Start","Scheduled_End","Actual_Start","Actual_End","Machine_ID","Job_ID","Operation_Type","Material_Used","Processing_Time","Energy_Consumption","Machine_Availability","Job_Status","Optimization_Category"
"","","","","","","","","","","","","",""
"18/03/2023","08:00:00","09:16:00","08:05:00","09:21:00","M01","J001","Grinding","3.17","76","11.42","96","Completed","Moderate Efficiency"
"18/03/2023","08:10:00","09:29:00","08:20:00","09:39:00","M01","J002","Grinding","3.35","79","6.61","84","Delayed","Low Efficiency"
"18/03/2023","08:20:00","09:16:00","08:20:00","09:16:00","M04","J003","Additive","2.29","56","11.11","92","Failed","Low Efficiency"
"18/03/2023","08:30:00","10:16:00","08:35:00","10:21:00","M04","J004","Grinding","1.76","106","12.5","95","Completed","Moderate Efficiency"
"18/03/2023","08:40:00","09:26:00","08:42:00","09:28:00","M01","J005","Lathe","1.9","46","8.13","88","Completed","High Efficiency"
"18/03/2023","08:50:00","10:30:00","08:53:00","10:33:00","M02","J006","Additive","4.86","100","13.83","86","Completed","Moderate Efficiency"
"18/03/2023","09:00:00","09:22:00","09:04:00","09:26:00","M04","J007","Milling","4.67","22","14.2","87","Completed","Moderate Efficiency"
"18/03/2023","09:10:00","10:29:00","09:08:00","10:27:00","M05","J008","Grinding","1.57","79","13.86","91","Completed","Low Efficiency"
"18/03/2023","09:20:00","10:02:00","09:23:00","10:05:00","M02","J009","Drilling","3.49","42","8.97","81","Completed","Moderate Efficiency"
"18/03/2023","09:30:00","09:57:00","09:54:00","10:21:00","M01","J010","Drilling","2.1","27","3.66","97","Delayed","Low Efficiency"
"18/03/2023","09:40:00","10:45:00","09:38:00","10:43:00","M01","J011","Lathe","3.02","65","9.98","90","Completed","Low Efficiency"
"18/03/2023","09:50:00","10:18:00","10:15:00","10:43:00","M03","J012","Grinding","2.71","28","8.08","88","Delayed","Low Efficiency"
"18/03/2023","10:00:00","10:43:00","10:05:00","10:48:00","M03","J013","Lathe","3.1","43","5.55","95","Completed","High Efficiency"
"18/03/2023","10:10:00","12:02:00","10:10:00","12:02:00","M04","J014","Additive","2.33","112","2.01","95","Completed","Optimal Efficiency"
"18/03/2023","10:20:00","12:04:00","10:24:00","12:08:00","M05","J015","Additive","3.92","104","3.67","98","Completed","High Efficiency"
"18/03/2023","10:30:00","11:35:00","10:28:00","11:33:00","M01","J016","Additive","2.09","65","12.29","96","Completed","Low Efficiency"
"18/03/2023","10:40:00","12:35:00","10:37:00","12:32:00","M03","J017","Lathe","4.3","115","9.44","80","Completed","Low Efficiency"
"18/03/2023","10:50:00","11:45:00","10:48:00","11:43:00","M05","J018","Lathe","2.25","55","10.95","94","Completed","Low Efficiency"
"18/03/2023","11:00:00","11:52:00","10:58:00","11:50:00","M02","J019","Milling","4.62","52","3.27","82","Completed","Low Efficiency"
"18/03/2023","11:10:00","11:52:00","11:15:00","11:57:00","M05","J020","Lathe","1.39","42","14.19","91","Completed","Moderate Efficiency"
"18/03/2023","11:20:00","13:07:00","11:15:00","13:02:00","M02","J021","Milling","3.95","107","13.73","83","Completed","Low Efficiency"
"18/03/2023","11:30:00","12:34:00","11:44:00","12:48:00","M03","J022","Additive","3.3","64","4.14","93","Delayed","Low Efficiency"
"18/03/2023","11:40:00","13:18:00","11:35:00","13:13:00","M01","J023","Drilling","4.86","98","13.49","89","Completed","Low Efficiency"
"18/03/2023","11:50:00","13:14:00","12:13:00","13:37:00","M02","J024","Grinding","1.84","84","8.81","98","Delayed","Low Efficiency"
"18/03/2023","12:00:00","13:59:00","12:00:00","13:59:00","M04","J025","Lathe","1.84","119","5.1","82","Failed","Low Efficiency"
"18/03/2023","12:10:00","12:31:00","12:10:00","12:31:00","M01","J026","Additive","1.14","21","3.89","97","Completed","High Efficiency"
"18/03/2023","12:20:00","13:47:00","12:20:00","13:47:00","M03","J027","Lathe","4.03","87","11.34","80","Failed","Low Efficiency"
"18/03/2023","12:30:00","14:03:00","12:28:00","14:01:00","M03","J028","Milling","3.21","93","4.16","98","Completed","Low Efficiency"
"18/03/2023","12:40:00","14:36:00","12:39:00","14:35:00","M02","J029","Milling","3.47","116","5.39","91","Completed","Low Efficiency"
"18/03/2023","12:50:00","13:56:00","12:51:00","13:57:00","M05","J030","Grinding","4.62","66","10.36","89","Completed","Moderate Efficiency"
"18/03/2023","13:00:00","13:37:00","13:02:00","13:39:00","M03","J031","Grinding","1.7","37","3.21","96","Completed","High Efficiency"
"18/03/2023","13:10:00","14:28:00","13:13:00","14:31:00","M03","J032","Drilling","3.02","78","4.93","80","Completed","High Efficiency"
"18/03/2023","13:20:00","15:03:00","13:33:00","15:16:00","M04","J033","Lathe","3.7","103","8.02","80","Delayed","Low Efficiency"
"18/03/2023","13:30:00","15:20:00","13:54:00","15:44:00","M01","J034","Grinding","1.47","110","12.52","86","Delayed","Low Efficiency"
"18/03/2023","13:40:00","14:27:00","13:41:00","14:28:00","M02","J035","Drilling","2.05","47","12.12","82","Completed","Moderate Efficiency"
"18/03/2023","13:50:00","15:29:00","13:47:00","15:26:00","M04","J036","Additive","1.76","99","4.72","96","Completed","Low Efficiency"
"18/03/2023","14:00:00","15:19:00","14:02:00","15:21:00","M01","J037","Milling","4.6","79","13.17","88","Completed","Moderate Efficiency"
"18/03/2023","14:10:00","14:53:00","14:10:00","14:53:00","M01","J038","Grinding","4.77","43","4.98","94","Completed","High Efficiency"
"18/03/2023","14:20:00","15:08:00","14:20:00","15:08:00","M02","J039","Drilling","4.06","48","10.65","86","Failed","Low Efficiency"
"18/03/2023","14:30:00","15:20:00","14:29:00","15:19:00","M01","J040","Lathe","2.29","50","9.94","97","Completed","Low Efficiency"
"18/03/2023","14:40:00","16:08:00","14:43:00","16:11:00","M04","J041","Milling","1.15","88","11.64","82","Completed","Moderate Efficiency"
"18/03/2023","14:50:00","15:38:00","14:47:00","15:35:00","M04","J042","Additive","1.55","48","13.57","95","Completed","Low Efficiency"
"18/03/2023","15:00:00","16:15:00","15:01:00","16:16:00","M03","J043","Additive","4.84","75","4.53","87","Completed","High Efficiency"
