Job_ID,Machine_ID,Operation_Type,Material_Used,Processing_Time,Energy_Consumption,Machine_Availability,Scheduled_Start,Scheduled_End,Actual_Start,Actual_End,Job_Status,Optimization_Category
J001,M01,Grinding,3.17,76,11.42,96,18/03/2023 08:00,18/03/2023 09:16,18/03/2023 08:05,18/03/2023 09:21,Completed,Moderate Efficiency
J002,M01,Grinding,3.35,79,6.61,84,18/03/2023 08:10,18/03/2023 09:29,18/03/2023 08:20,18/03/2023 09:39,Delayed,Low Efficiency
J003,M04,Additive,2.29,56,11.11,92,18/03/2023 08:20,18/03/2023 09:16,,,Failed,Low Efficiency
J004,M04,Grinding,1.76,106,12.5,95,18/03/2023 08:30,18/03/2023 10:16,18/03/2023 08:35,18/03/2023 10:21,Completed,Moderate Efficiency
J005,M01,Lathe,1.9,46,8.13,88,18/03/2023 08:40,18/03/2023 09:26,18/03/2023 08:42,18/03/2023 09:28,Completed,High Efficiency
J006,M02,Additive,4.86,100,13.83,86,18/03/2023 08:50,18/03/2023 10:30,18/03/2023 08:53,18/03/2023 10:33,Completed,Moderate Efficiency
J007,M04,Milling,4.67,22,14.2,87,18/03/2023 09:00,18/03/2023 09:22,18/03/2023 09:04,18/03/2023 09:26,Completed,Moderate Efficiency
J008,M05,Grinding,1.57,79,13.86,91,18/03/2023 09:10,18/03/2023 10:29,18/03/2023 09:08,18/03/2023 10:27,Completed,Low Efficiency
J009,M02,Drilling,3.49,42,8.97,81,18/03/2023 09:20,18/03/2023 10:02,18/03/2023 09:23,18/03/2023 10:05,Completed,Moderate Efficiency
J010,M01,Drilling,2.1,27,3.66,97,18/03/2023 09:30,18/03/2023 09:57,18/03/2023 09:54,18/03/2023 10:21,Delayed,Low Efficiency
J011,M01,Lathe,3.02,65,9.98,90,18/03/2023 09:40,18/03/2023 10:45,18/03/2023 09:38,18/03/2023 10:43,Completed,Low Efficiency
J012,M03,Grinding,2.71,28,8.08,88,18/03/2023 09:50,18/03/2023 10:18,18/03/2023 10:15,18/03/2023 10:43,Delayed,Low Efficiency
